name,Lat,Longitude,Height,Description
Kmirdngaye,11.8149463,38.2183035,2,9 to 12
Gasayi,11.7983383,38.1453983,2,9 to 12
Ferte,11.8581,38.1694,2,9 to 12
Mahider Mariyam,11.7152067,37.9221117,2,9 to 10
Megendi,11.8977617,38.1344317,2,9 to 10
Nefas Miwecha Mesenado,11.7473833,38.4735033,2,11 to 12
Sali,11.738375,38.34064,2,9 to 10
Nefas Mewucha General,11.7470233,38.4769167,2,9 to 10
Zagoch,11.9006933,38.3989967,2,9 to 10
welela bhar,11.6277767,38.2582133,2,9 to 10
Tateke Lesira,11.6027,38.5408,2,9 to 12
Agat,11.6120938,38.4666014,2,9 to 10
Akito 2nd. school,11.6548,38.5674,2,9 to 10
Tagel,11.41734,38.1255775,2,9 to 12
Muja Robit,11.4119426,38.4349554,2,9 to 12
Yekuasa Gen.,11.2489783,38.396565,2,9 to 10
Tsedeye,11.40592,38.236255,2,9 to 10
Sede Adeda,11.5510307,38.3259085,2,9 to 10
Bazra Meda,11.4669567,38.2752817,2,9 to 10
Aji,11.40094,38.23582,2,9 to 10
Mekane Eyesus,11.6120294,38.0576903,2,9 to 12
Mkrie Senior Secondary,11.5358143,38.1671414,2,9 to 12
Koma afseldes,11.3036,38.1033,2,9 to 12
Lewaye,11.7139,38.0766,2,9 to 10
Gunna yetagayoch metasebiya,11.6596,38.2199,2,9 to 10
Debre Selame,11.4839,38.0508,2,9 to 10
Jebe Asra Mariyame,11.5977067,37.9394517,2,9 to 10
Anbesamie,11.6998,37.6261,2,9 to 12
Aferawanat,11.6208967,37.755805,2,9 to 12
Goh,11.7758,37.5607,2,9 to 12
Jara Gedo,11.4038117,37.879165,2,9 to 12
Blo Mieda,11.4827124,37.9953058,2,9 to 10
Andabiet,11.4129391,37.9590913,2,9 to 12
Dagemawi Teodwos,11.8555283,38.020585,2,9 to 10
Dagmawi Tewodros Mesenado,11.8538867,38.0188,2,11 to 12
Debre Tabor,11.8652963,37.9979707,2,9 to 10
Etegia Tehatitu,11.8459733,38.0074867,2,9 to 12
Woreta Gen.sec. & Preparatory,11.9229,37.6956,2,9 to 12
Eyobna zergaw,12.2441,38.6416,2,9 to 12
Kebebiw,12.209,38.6626,2,9 to 10
Guregur,12.0915,38.8155,2,9 to 10
Kobo Senior& mesenado,12.1397,39.6335,2,9 to 12
Kobo catolic keduse Yosife,12.1511,39.6299,2,9 to 10
Robit,12.0115,39.6217,2,9 to 12
Kalime,11.9275,39.5397,2,9 to 10
Gobiye,11.9374,39.6671,2,9 to 12
Tekulesh,12.1511,39.4829,2,9 to 12
Zobil,12.1745,39.7461,2,9 to 12
Jemedo Mariyam,12.2717,39.4078,2,9 to 10
Felakit,11.760665,38.7447861,2,9 to 12
Hana Mequat Debr Sina,11.7038328,38.7190846,2,9 to 10
Serko,11.68369,38.9253111,2,9 to 10
Taja Mesfina,11.7481985,38.9153072,2,9 to 10
Kokit,11.8189509,38.6390301,2,9 to 12
Debeko 10,11.73916167,39.05512667,2,1 to 10
Kone,11.6205798,38.9284779,2,9 to 12
Estayeshe,11.8389958,39.1451178,2,9 to 12
Gashena,11.6833291,38.9257409,2,9 to 12
Muja Mariyam,12.0107,39.2915,2,9 to 12
Dildiy,12.2004,39.3467,2,9 to 10
Eshet Amba,11.8716091,39.2894108,2,9 to 12
Sanka,11.8924,39.4509,2,9 to 12
Sewa meda,11.7885,39.5067,2,9 to 10
Hara,11.8392,39.7412,2,9 to 10
Masynigolla,11.6658,39.4798,2,9 to 10
Anegote,11.8705,39.2902,2,9 to 10
Mersa,11.6658,39.6647,2,9 to 12
Wurgisa,11.5408,39.6203,2,9 to 12
Girana Secondery,11.577,39.7179,2,9 to 10
Sirinka,11.7539,39.6001,2,9 to 12
Arerite,11.6871,39.804,2,9 to 10
Enjafat,11.9859287,38.9851116,2,9 to 10
Kulmesk,11.93626008,39.20906495,2,9 to 12
Telfetit,12.0811,39.1591,2,9 to 10
Blebala,12.1679,38.9875,2,9 to 12
Shumsheha,11.9866117,38.9868169,2,9 to 12
Dibko,11.9847,39.1698,2,9 to 10
Chet,11.4622,38.9151,2,9 to 10
Gersa,11.4751,38.8071,2,9 to 10
Genetie,11.8315333,39.6017143,2,9 to 10
Wolidya Secondariy,11.8343049,39.5949193,2,9 to 10
Woldia Mesenado,11.834123,39.595387,2,11 to 12
Weldya milinium secodary,11.8169054,39.5863685,2,9 to 10
Keduse Lalibela Mesenado,12.0280409,39.0424106,2,11 to 12
Kidus Lalibela Secondary Schoo,12.0260146,39.05024,2,9 to 10
Mekedela Mesenadona 2 Dereja,11.2327,39.0685,2,9 to 12
Debire Zeit,11.2427,38.9392,2,9 to 10
Koreb,11.2989,38.8114,2,9 to 10
Ajeber,11.235,39.242,2,9 to 12
Asfawesen Algawrash High Schoo,11.3196,39.2496,2,9 to 12
Wortj,11.0347,39.2276,2,9 to 10
Debeka,11.33262324,39.17697081,2,9 to 10
Kutaber general & preparatory,11.276,39.5346,2,9 to 10
mehonagna amba,11.2606,39.5563,2,9 to 12
Wuchalie 17,11.5003685,39.6122894,2,9 to 12
Deleba Giworgis,11.4972,39.4385,2,9 to 10
Marye,11.37236555,39.59540101,2,9 to 12
lego haiyk secondary,11.30552361,39.68019903,2,9 to 10
Slula S. Sec.,11.26252713,39.74631454,2,9 to 10
haiyk mesenado,11.307797,39.6793293,2,9 to 12
Tikeshegn,11.729825,39.405005,2,9 to 10
Wegel Tena,11.5880683,39.2142033,2,9 to 12
Teyhuy Mewecha,11.6838898,39.2907241,2,9 to 10
Chew kutir,11.5147,39.0833,2,9 to 10
Degan,11.1454,39.8968,2,9 to 12
Harbu,10.9241,39.7871,2,9 to 12
Adem ager,11.2452,39.8252,2,9 to 10
Degazemach Mengesha abyey,10.8816,39.6494,2,9 to 12
Dgaga,10.8081,39.6349,2,9 to 10
Hidasie Gen.,10.9776317,39.4174683,2,9 to 10
Ayalew Tesema,11.0838442,39.5590088,2,9 to 12
Geleshe,11.0369183,39.5457067,2,9 to 10
Akesta,10.8675,39.1762,2,9 to 12
Genetie,10.7931,39.0706,2,9 to 10
Feta,10.7951,38.9603,2,9 to 10
